info,ffh,mean,predicted,actual
"{'eval_step': 0, 'player_name': 'White', 'player_position': 'Defender', 'player_id': 'cnmlhoum9aahwqruxgmz2gcfd', 'season': 2022, 'gameweek': 1}","{'points': 3.22781981203908, 'mins': 90.0, 'xg': 0.00652031922288181, 'xa': 0.0221057744198597, 'g90': 0.00652031922288181, 'a90': 0.0221057744198597, 'cs90': 0.0221057744198597, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.018000001087784767, 'npxg_fpl': 0.018000001087784767, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.10000000149011612, 'goal_threat': 2.700000047683716}","{'npxg': 0.6696040630340576, 'prob_scoring': 0.15825772285461426, 'big_chance_missed': 0.16481703519821167, 'big_chance_scored': 2.1822075843811035, 'on_target': 0.001829547923989594, 'goal_threat': 2.333080530166626}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}"
"{'eval_step': 0, 'player_name': 'Ramsdale', 'player_position': 'Goalkeeper', 'player_id': '6yovfcug6e9hykfauqy0fq67d', 'season': 2022, 'gameweek': 1}","{'points': 3.9760469232017, 'mins': 90.0, 'xg': 0.0, 'xa': 0.00736859147328656, 'g90': 0.0, 'a90': 0.00736859147328656, 'cs90': 0.00736859147328656, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}","{'npxg': 1.0505821704864502, 'prob_scoring': 0.3410005569458008, 'big_chance_missed': 2.0240097045898438, 'big_chance_scored': 1.6580052375793457, 'on_target': 0.030191520228981972, 'goal_threat': 2.0679872035980225}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}"
"{'eval_step': 0, 'player_name': 'Thomas', 'player_position': 'Midfielder', 'player_id': 'dydwiixiims98cx2iihfuf8wl', 'season': 2022, 'gameweek': 1}","{'points': 2.63984800752292, 'mins': 86.0, 'xg': 0.0364098020852671, 'xa': 0.0563287881513461, 'g90': 0.0381032812520237, 'a90': 0.0589487317862925, 'cs90': 0.0589487317862925, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.10000000149011612, 'npxg': 0.11699999868869781, 'npxg_fpl': 0.125, 'big_chance_missed': 0.10000000149011612, 'big_chance_scored': 0.0, 'on_target': 0.4000000059604645, 'goal_threat': 19.700000762939453}","{'npxg': 0.6259343028068542, 'prob_scoring': 0.36142033338546753, 'big_chance_missed': 1.464425802230835, 'big_chance_scored': 0.5910481214523315, 'on_target': 0.31174054741859436, 'goal_threat': 2.3928897380828857}","{'goals': 0.0, 'npxg': 0.019999999552965164, 'npxg_fpl': 0.10000000149011612, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 10.0}"
"{'eval_step': 0, 'player_name': 'Saka', 'player_position': 'Attacker', 'player_id': '8tc7dcuwdeqbjgt7vw5p38xgq', 'season': 2022, 'gameweek': 1}","{'points': 4.05700822994109, 'mins': 82.0, 'xg': 0.222877807753532, 'xa': 0.15441292798465, 'g90': 0.24462198411973, 'a90': 0.169477603885591, 'cs90': 0.169477603885591, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.164000004529953, 'npxg_fpl': 0.18299999833106995, 'big_chance_missed': 0.10000000149011612, 'big_chance_scored': 0.20000000298023224, 'on_target': 0.699999988079071, 'goal_threat': 41.599998474121094}","{'npxg': 0.2412458062171936, 'prob_scoring': 0.04971516132354736, 'big_chance_missed': 0.0659293532371521, 'big_chance_scored': 0.5242506265640259, 'on_target': 0.2674238383769989, 'goal_threat': 19.57869529724121}","{'goals': 0.0, 'npxg': 0.07000000029802322, 'npxg_fpl': 0.25999999046325684, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 36.0}"
"{'eval_step': 0, 'player_name': 'Ødegaard', 'player_position': 'Midfielder', 'player_id': 'b1lcxeihx8z6pfv1jef4j5jh1', 'season': 2022, 'gameweek': 1}","{'points': 3.58615717384259, 'mins': 90.0, 'xg': 0.123826288858837, 'xa': 0.117897463572585, 'g90': 0.123826288858837, 'a90': 0.117897463572585, 'cs90': 0.117897463572585, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.20000000298023224, 'npxg': 0.14799998700618744, 'npxg_fpl': 0.15199998021125793, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.800000011920929, 'goal_threat': 23.200000762939453}","{'npxg': 0.1592985838651657, 'prob_scoring': 0.7530667185783386, 'big_chance_missed': 0.14398282766342163, 'big_chance_scored': 0.3059849739074707, 'on_target': 0.0018060612492263317, 'goal_threat': 15.233819007873535}","{'goals': 0.0, 'npxg': 0.05000000074505806, 'npxg_fpl': 0.09000000357627869, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 23.0}"
"{'eval_step': 0, 'player_name': 'Gabriel', 'player_position': 'Defender', 'player_id': '8libvn3hxypz8x7gm4mr7kj55', 'season': 2022, 'gameweek': 1}","{'points': 3.4552003686903, 'mins': 86.0, 'xg': 0.0455871698948252, 'xa': 0.0140821970378365, 'g90': 0.0477075033783054, 'a90': 0.0147371829465731, 'cs90': 0.0147371829465731, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.20000000298023224, 'npxg': 0.132999986410141, 'npxg_fpl': 0.132999986410141, 'big_chance_missed': 0.0, 'big_chance_scored': 0.20000000298023224, 'on_target': 0.4000000059604645, 'goal_threat': 13.399999618530273}","{'npxg': 0.5257092118263245, 'prob_scoring': 0.1337505578994751, 'big_chance_missed': 1.0423221588134766, 'big_chance_scored': 0.7949159145355225, 'on_target': 0.001350995386019349, 'goal_threat': 2.5752041339874268}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 2.0}"
"{'eval_step': 0, 'player_name': 'Xhaka', 'player_position': 'Midfielder', 'player_id': '6264xjr1y00yu7b9j2pknalzp', 'season': 2022, 'gameweek': 1}","{'points': 2.53254162729477, 'mins': 83.0, 'xg': 0.0245583167562511, 'xa': 0.0407728728188523, 'g90': 0.0266295000971398, 'a90': 0.0442115488397194, 'cs90': 0.0442115488397194, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.10000000149011612, 'npxg': 0.06800000369548798, 'npxg_fpl': 0.06800000369548798, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.4000000059604645, 'goal_threat': 8.800000190734863}","{'npxg': 0.956718385219574, 'prob_scoring': 0.6260958909988403, 'big_chance_missed': 2.3564083576202393, 'big_chance_scored': 0.5812855362892151, 'on_target': 0.9166502952575684, 'goal_threat': 4.967874050140381}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 2.0}"
"{'eval_step': 0, 'player_name': 'Martinelli', 'player_position': 'Attacker', 'player_id': '7ocm7nugzwos59il1pm4eub8q', 'season': 2022, 'gameweek': 1}","{'points': 3.99964936318619, 'mins': 80.0, 'xg': 0.211906353457425, 'xa': 0.137547040834682, 'g90': 0.238394647639603, 'a90': 0.154740420939018, 'cs90': 0.154740420939018, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.20000000298023224, 'npxg': 0.3959999978542328, 'npxg_fpl': 0.3569999635219574, 'big_chance_missed': 0.6000000238418579, 'big_chance_scored': 0.20000000298023224, 'on_target': 1.0, 'goal_threat': 44.0}","{'npxg': 0.7996569275856018, 'prob_scoring': 0.7419349551200867, 'big_chance_missed': 0.3753451108932495, 'big_chance_scored': 1.6098204851150513, 'on_target': 1.3715327978134155, 'goal_threat': 31.783702850341797}","{'goals': 1.0, 'npxg': 0.7699999809265137, 'npxg_fpl': 0.3799999952316284, 'big_chance_missed': 1.0, 'big_chance_scored': 1.0, 'on_target': 1.0, 'goal_threat': 39.0}"
"{'eval_step': 0, 'player_name': 'Bailey', 'player_position': 'Attacker', 'player_id': '4jyrztlaueae7eg18kuvxa489', 'season': 2022, 'gameweek': 1}","{'points': 4.17863429819523, 'mins': 70.0, 'xg': 0.277003378231301, 'xa': 0.167895904539186, 'g90': 0.356147200583101, 'a90': 0.215866162978953, 'cs90': 0.215866162978953, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.16099999845027924, 'npxg_fpl': 0.15800000727176666, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.699999988079071, 'goal_threat': 35.400001525878906}","{'npxg': 1.063750147819519, 'prob_scoring': 0.1563342809677124, 'big_chance_missed': 1.0075440406799316, 'big_chance_scored': 0.2997790277004242, 'on_target': 5.493997573852539, 'goal_threat': 3.1661391258239746}","{'goals': 0.0, 'npxg': 0.05000000074505806, 'npxg_fpl': 0.019999999552965164, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 22.0}"
"{'eval_step': 0, 'player_name': 'Martinez', 'player_position': 'Goalkeeper', 'player_id': '3zl1q2gk6tdmzirsyfgm38no5', 'season': 2022, 'gameweek': 1}","{'points': 3.67472332716693, 'mins': 90.0, 'xg': 0.0, 'xa': 0.0, 'g90': 0.0, 'a90': 0.0, 'cs90': 0.0, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}","{'npxg': 0.14076319336891174, 'prob_scoring': 0.5424638986587524, 'big_chance_missed': 0.015062274411320686, 'big_chance_scored': 0.3554384708404541, 'on_target': 0.2728182077407837, 'goal_threat': 0.8397368788719177}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}"
