info,ffh,mean,predicted,actual
"{'eval_step': 0, 'player_name': 'White', 'player_position': 'Defender', 'player_id': 'cnmlhoum9aahwqruxgmz2gcfd', 'season': 2022, 'gameweek': 1}","{'points': 3.22781981203908, 'mins': 90.0, 'xg': 0.00652031922288181, 'xa': 0.0221057744198597, 'g90': 0.00652031922288181, 'a90': 0.0221057744198597, 'cs90': 0.0221057744198597, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.018000001087784767, 'npxg_fpl': 0.018000001087784767, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.10000000149011612, 'goal_threat': 2.700000047683716}","{'npxg': 0.5382079482078552, 'prob_scoring': 0.008370637893676758, 'big_chance_missed': 0.451608806848526, 'big_chance_scored': 1.1191017627716064, 'on_target': 0.7269038558006287, 'goal_threat': 1.2439987659454346}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}"
"{'eval_step': 0, 'player_name': 'Ramsdale', 'player_position': 'Goalkeeper', 'player_id': '6yovfcug6e9hykfauqy0fq67d', 'season': 2022, 'gameweek': 1}","{'points': 3.9760469232017, 'mins': 90.0, 'xg': 0.0, 'xa': 0.00736859147328656, 'g90': 0.0, 'a90': 0.00736859147328656, 'cs90': 0.00736859147328656, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}","{'npxg': 0.24963614344596863, 'prob_scoring': 0.5713963508605957, 'big_chance_missed': 0.16620852053165436, 'big_chance_scored': 0.6821413040161133, 'on_target': 0.06059443578124046, 'goal_threat': 0.8953090906143188}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}"
"{'eval_step': 0, 'player_name': 'Thomas', 'player_position': 'Midfielder', 'player_id': 'dydwiixiims98cx2iihfuf8wl', 'season': 2022, 'gameweek': 1}","{'points': 2.63984800752292, 'mins': 86.0, 'xg': 0.0364098020852671, 'xa': 0.0563287881513461, 'g90': 0.0381032812520237, 'a90': 0.0589487317862925, 'cs90': 0.0589487317862925, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.10000000149011612, 'npxg': 0.11699999868869781, 'npxg_fpl': 0.125, 'big_chance_missed': 0.10000000149011612, 'big_chance_scored': 0.0, 'on_target': 0.4000000059604645, 'goal_threat': 19.700000762939453}","{'npxg': 0.08581133186817169, 'prob_scoring': 0.09227842092514038, 'big_chance_missed': 0.04880312457680702, 'big_chance_scored': 0.12777553498744965, 'on_target': 0.24605825543403625, 'goal_threat': 2.4273183345794678}","{'goals': 0.0, 'npxg': 0.019999999552965164, 'npxg_fpl': 0.10000000149011612, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 10.0}"
"{'eval_step': 0, 'player_name': 'Saka', 'player_position': 'Attacker', 'player_id': '8tc7dcuwdeqbjgt7vw5p38xgq', 'season': 2022, 'gameweek': 1}","{'points': 4.05700822994109, 'mins': 82.0, 'xg': 0.222877807753532, 'xa': 0.15441292798465, 'g90': 0.24462198411973, 'a90': 0.169477603885591, 'cs90': 0.169477603885591, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.164000004529953, 'npxg_fpl': 0.18299999833106995, 'big_chance_missed': 0.10000000149011612, 'big_chance_scored': 0.20000000298023224, 'on_target': 0.699999988079071, 'goal_threat': 41.599998474121094}","{'npxg': 0.3807823956012726, 'prob_scoring': 0.1266545057296753, 'big_chance_missed': 1.0393074750900269, 'big_chance_scored': 0.21133068203926086, 'on_target': 0.14114022254943848, 'goal_threat': 4.34513521194458}","{'goals': 0.0, 'npxg': 0.07000000029802322, 'npxg_fpl': 0.25999999046325684, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 36.0}"
"{'eval_step': 0, 'player_name': 'Ødegaard', 'player_position': 'Midfielder', 'player_id': 'b1lcxeihx8z6pfv1jef4j5jh1', 'season': 2022, 'gameweek': 1}","{'points': 3.58615717384259, 'mins': 90.0, 'xg': 0.123826288858837, 'xa': 0.117897463572585, 'g90': 0.123826288858837, 'a90': 0.117897463572585, 'cs90': 0.117897463572585, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.20000000298023224, 'npxg': 0.14799998700618744, 'npxg_fpl': 0.15199998021125793, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.800000011920929, 'goal_threat': 23.200000762939453}","{'npxg': 0.41693323850631714, 'prob_scoring': 0.058718204498291016, 'big_chance_missed': 0.5501412749290466, 'big_chance_scored': 0.3740614652633667, 'on_target': 1.1700809001922607, 'goal_threat': 4.300936698913574}","{'goals': 0.0, 'npxg': 0.05000000074505806, 'npxg_fpl': 0.09000000357627869, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 23.0}"
"{'eval_step': 0, 'player_name': 'Gabriel', 'player_position': 'Defender', 'player_id': '8libvn3hxypz8x7gm4mr7kj55', 'season': 2022, 'gameweek': 1}","{'points': 3.4552003686903, 'mins': 86.0, 'xg': 0.0455871698948252, 'xa': 0.0140821970378365, 'g90': 0.0477075033783054, 'a90': 0.0147371829465731, 'cs90': 0.0147371829465731, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.20000000298023224, 'npxg': 0.132999986410141, 'npxg_fpl': 0.132999986410141, 'big_chance_missed': 0.0, 'big_chance_scored': 0.20000000298023224, 'on_target': 0.4000000059604645, 'goal_threat': 13.399999618530273}","{'npxg': 0.33353522419929504, 'prob_scoring': 0.07488316297531128, 'big_chance_missed': 0.56728595495224, 'big_chance_scored': 0.38370704650878906, 'on_target': 0.4907386898994446, 'goal_threat': 1.39944326877594}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 2.0}"
"{'eval_step': 0, 'player_name': 'Xhaka', 'player_position': 'Midfielder', 'player_id': '6264xjr1y00yu7b9j2pknalzp', 'season': 2022, 'gameweek': 1}","{'points': 2.53254162729477, 'mins': 83.0, 'xg': 0.0245583167562511, 'xa': 0.0407728728188523, 'g90': 0.0266295000971398, 'a90': 0.0442115488397194, 'cs90': 0.0442115488397194, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.10000000149011612, 'npxg': 0.06800000369548798, 'npxg_fpl': 0.06800000369548798, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.4000000059604645, 'goal_threat': 8.800000190734863}","{'npxg': 0.07172797620296478, 'prob_scoring': 0.1704014539718628, 'big_chance_missed': 0.10408110171556473, 'big_chance_scored': 0.12550793588161469, 'on_target': 0.02415328100323677, 'goal_threat': 1.781113624572754}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 2.0}"
"{'eval_step': 0, 'player_name': 'Martinelli', 'player_position': 'Attacker', 'player_id': '7ocm7nugzwos59il1pm4eub8q', 'season': 2022, 'gameweek': 1}","{'points': 3.99964936318619, 'mins': 80.0, 'xg': 0.211906353457425, 'xa': 0.137547040834682, 'g90': 0.238394647639603, 'a90': 0.154740420939018, 'cs90': 0.154740420939018, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.20000000298023224, 'npxg': 0.3959999978542328, 'npxg_fpl': 0.3569999635219574, 'big_chance_missed': 0.6000000238418579, 'big_chance_scored': 0.20000000298023224, 'on_target': 1.0, 'goal_threat': 44.0}","{'npxg': 0.18397775292396545, 'prob_scoring': 0.29880815744400024, 'big_chance_missed': 0.4288148283958435, 'big_chance_scored': 0.028220675885677338, 'on_target': 0.21477390825748444, 'goal_threat': 13.332252502441406}","{'goals': 1.0, 'npxg': 0.7699999809265137, 'npxg_fpl': 0.3799999952316284, 'big_chance_missed': 1.0, 'big_chance_scored': 1.0, 'on_target': 1.0, 'goal_threat': 39.0}"
"{'eval_step': 0, 'player_name': 'Bailey', 'player_position': 'Attacker', 'player_id': '4jyrztlaueae7eg18kuvxa489', 'season': 2022, 'gameweek': 1}","{'points': 4.17863429819523, 'mins': 70.0, 'xg': 0.277003378231301, 'xa': 0.167895904539186, 'g90': 0.356147200583101, 'a90': 0.215866162978953, 'cs90': 0.215866162978953, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.16099999845027924, 'npxg_fpl': 0.15800000727176666, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.699999988079071, 'goal_threat': 35.400001525878906}","{'npxg': 0.8284810781478882, 'prob_scoring': 0.8269075751304626, 'big_chance_missed': 0.34499555826187134, 'big_chance_scored': 0.6033642888069153, 'on_target': 4.412746429443359, 'goal_threat': 3.9238717555999756}","{'goals': 0.0, 'npxg': 0.05000000074505806, 'npxg_fpl': 0.019999999552965164, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 22.0}"
"{'eval_step': 0, 'player_name': 'Martinez', 'player_position': 'Goalkeeper', 'player_id': '3zl1q2gk6tdmzirsyfgm38no5', 'season': 2022, 'gameweek': 1}","{'points': 3.67472332716693, 'mins': 90.0, 'xg': 0.0, 'xa': 0.0, 'g90': 0.0, 'a90': 0.0, 'cs90': 0.0, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}","{'npxg': 0.9489881992340088, 'prob_scoring': 0.29914379119873047, 'big_chance_missed': 1.8458811044692993, 'big_chance_scored': 0.24983201920986176, 'on_target': 2.8318636417388916, 'goal_threat': 0.7199563384056091}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}"
