info,ffh,mean,predicted,actual
"{'eval_step': 0, 'player_name': 'Yates', 'player_position': 'Midfielder', 'player_id': 'ece7xph4emgawvh7mr56319ex', 'season': 2023, 'gameweek': 1}","{'points': 2.53464148712517, 'mins': 80.0, 'xg': 0.043178108622023, 'xa': 0.0597063621533442, 'g90': 0.0485753721997759, 'a90': 0.0671696574225122, 'cs90': 0.0671696574225122, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.026250001043081284, 'npxg_fpl': 0.03999999910593033, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.125, 'goal_threat': 5.375}","{'xg': 0.5937516689300537, 'prob_scoring': 0.44774848222732544, 'big_chance_missed': 1.2370686531066895, 'big_chance_scored': 1.4904531240463257, 'on_target': 1.834174394607544, 'goal_threat': 1.241256833076477, 'xgnp': 0.20655690133571625, 'xgnp_fpl': 0.30876049399375916}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}"
"{'eval_step': 0, 'player_name': 'Johnson', 'player_position': 'Attacker', 'player_id': '1l228p52d8wdf8qhfxqu8rca', 'season': 2023, 'gameweek': 1}","{'points': 3.4040944654304, 'mins': 85.0, 'xg': 0.171629650781057, 'xa': 0.107139030612245, 'g90': 0.181725512591708, 'a90': 0.113441326530612, 'cs90': 0.113441326530612, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.125, 'npxg': 0.13999998569488525, 'npxg_fpl': 0.10124999284744263, 'big_chance_missed': 0.25, 'big_chance_scored': 0.0, 'on_target': 0.75, 'goal_threat': 17.625}","{'xg': 1.7557075023651123, 'prob_scoring': 0.8272150754928589, 'big_chance_missed': 1.1264077425003052, 'big_chance_scored': 1.147603988647461, 'on_target': 1.4263745546340942, 'goal_threat': 0.920852541923523, 'xgnp': 0.4058164358139038, 'xgnp_fpl': 0.48054179549217224}","{'goals': 0.0, 'npxg': 0.30000001192092896, 'npxg_fpl': 0.2800000011920929, 'big_chance_missed': 1.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 6.0}"
"{'eval_step': 0, 'player_name': 'Worrall', 'player_position': 'Defender', 'player_id': '1tuivl8zdnsaz8vbed2z582qx', 'season': 2023, 'gameweek': 1}","{'points': 0.748688302725062, 'mins': 45.0, 'xg': 0.0116888292983405, 'xa': 0.0139355821299639, 'g90': 0.023377658596681, 'a90': 0.0278711642599278, 'cs90': 0.0278711642599278, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.125, 'npxg': 0.08374999463558197, 'npxg_fpl': 0.07374999672174454, 'big_chance_missed': 0.0, 'big_chance_scored': 0.125, 'on_target': 0.25, 'goal_threat': 8.75}","{'xg': 0.2607315182685852, 'prob_scoring': 0.2295122742652893, 'big_chance_missed': 1.000120759010315, 'big_chance_scored': 1.6377638578414917, 'on_target': 1.721227765083313, 'goal_threat': 1.3290071487426758, 'xgnp': 0.1320921927690506, 'xgnp_fpl': 0.20550264418125153}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 2.0}"
"{'eval_step': 0, 'player_name': 'Aurier', 'player_position': 'Midfielder', 'player_id': '8pb6iiphpyxdlpbs4dpunr8wl', 'season': 2023, 'gameweek': 1}","{'points': 2.08628853132974, 'mins': 87.0, 'xg': 0.030854870201732, 'xa': 0.038393381221139, 'g90': 0.0319188312431711, 'a90': 0.0397172909184197, 'cs90': 0.0397172909184197, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.021250000223517418, 'npxg_fpl': 0.019999999552965164, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.125, 'goal_threat': 3.25}","{'xg': 0.1459517776966095, 'prob_scoring': 0.13580060005187988, 'big_chance_missed': 1.0334174633026123, 'big_chance_scored': 1.8893910646438599, 'on_target': 2.3028194904327393, 'goal_threat': 1.4764779806137085, 'xgnp': 0.07745613902807236, 'xgnp_fpl': 0.3003427982330322}","{'goals': 0.0, 'npxg': 0.009999999776482582, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 4.0}"
"{'eval_step': 0, 'player_name': 'Gibbs-White', 'player_position': 'Attacker', 'player_id': '55yy0p6johtu9nxk90zsfctt5', 'season': 2023, 'gameweek': 1}","{'points': 3.66401695498106, 'mins': 90.0, 'xg': 0.196919831168851, 'xa': 0.182275649145029, 'g90': 0.196919831168851, 'a90': 0.182275649145029, 'cs90': 0.182275649145029, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.125, 'npxg': 0.13249999284744263, 'npxg_fpl': 0.0949999988079071, 'big_chance_missed': 0.125, 'big_chance_scored': 0.25, 'on_target': 0.875, 'goal_threat': 16.0}","{'xg': 1.2964916229248047, 'prob_scoring': 0.7265104055404663, 'big_chance_missed': 1.1720744371414185, 'big_chance_scored': 1.1342772245407104, 'on_target': 1.4083391427993774, 'goal_threat': 0.9395173192024231, 'xgnp': 0.42259663343429565, 'xgnp_fpl': 0.4131682515144348}","{'goals': 0.0, 'npxg': 0.009999999776482582, 'npxg_fpl': 0.07000000029802322, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 6.0}"
"{'eval_step': 0, 'player_name': 'Boly', 'player_position': 'Defender', 'player_id': 'cfpqqzqrpzv6dq89yw7nfd1p1', 'season': 2023, 'gameweek': 1}","{'points': 0.636955769956745, 'mins': 23.0, 'xg': 0.00394139186744137, 'xa': 0.00935333333333333, 'g90': 0.0154228377421619, 'a90': 0.0366, 'cs90': 0.0366, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.028749998658895493, 'npxg_fpl': 0.008750000037252903, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.125, 'goal_threat': 6.125}","{'xg': 0.20354068279266357, 'prob_scoring': 0.18416297435760498, 'big_chance_missed': 0.9705665707588196, 'big_chance_scored': 1.7016838788986206, 'on_target': 1.7969931364059448, 'goal_threat': 1.3837031126022339, 'xgnp': 0.10672023892402649, 'xgnp_fpl': 0.2012740969657898}","{'goals': 0.0, 'npxg': 0.1899999976158142, 'npxg_fpl': 0.20999999344348907, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 1.0, 'goal_threat': 33.0}"
"{'eval_step': 0, 'player_name': 'Mangala', 'player_position': 'Midfielder', 'player_id': '95uxoznu15m2xywirv43rcmol', 'season': 2023, 'gameweek': 1}","{'points': 2.2834402467203, 'mins': 85.0, 'xg': 0.0227071052712711, 'xa': 0.0324895565552699, 'g90': 0.0240428173460518, 'a90': 0.034400706940874, 'cs90': 0.034400706940874, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.021250000223517418, 'npxg_fpl': 0.008750000037252903, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.125, 'goal_threat': 2.5}","{'xg': 0.5079731345176697, 'prob_scoring': 0.39828604459762573, 'big_chance_missed': 1.2125599384307861, 'big_chance_scored': 1.5296311378479004, 'on_target': 1.8814566135406494, 'goal_threat': 1.2664158344268799, 'xgnp': 0.18446767330169678, 'xgnp_fpl': 0.3090679943561554}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}"
"{'eval_step': 0, 'player_name': 'McKenna', 'player_position': 'Defender', 'player_id': '12cgiy0t282ywdbr5j78hrxsl', 'season': 2023, 'gameweek': 1}","{'points': 0.797722194808588, 'mins': 30.0, 'xg': 0.00102043164591464, 'xa': 0.0191958041958042, 'g90': 0.00306129493774392, 'a90': 0.0575874125874126, 'cs90': 0.0575874125874126, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.0037499999161809683, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 2.25}","{'xg': 0.2703917920589447, 'prob_scoring': 0.23691952228546143, 'big_chance_missed': 1.0067695379257202, 'big_chance_scored': 1.6227866411209106, 'on_target': 1.7222719192504883, 'goal_threat': 1.3428127765655518, 'xgnp': 0.12760142982006073, 'xgnp_fpl': 0.19550025463104248}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}"
"{'eval_step': 0, 'player_name': 'Robertson', 'player_position': 'Defender', 'player_id': 'eziqega9e25bg939pfh4vjp3p', 'season': 2023, 'gameweek': 1}","{'points': 3.65345819749559, 'mins': 80.0, 'xg': 0.0265428617758111, 'xa': 0.178405561993047, 'g90': 0.0298607194977875, 'a90': 0.200706257242178, 'cs90': 0.200706257242178, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.03999999910593033, 'npxg_fpl': 0.014999999664723873, 'big_chance_missed': 0.125, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 2.5}","{'xg': 0.21912150084972382, 'prob_scoring': 0.19677585363388062, 'big_chance_missed': 0.978591799736023, 'big_chance_scored': 1.6843652725219727, 'on_target': 1.7774789333343506, 'goal_threat': 1.3690333366394043, 'xgnp': 0.11303123831748962, 'xgnp_fpl': 0.1999443620443344}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 2.0}"
"{'eval_step': 0, 'player_name': 'Virgil', 'player_position': 'Defender', 'player_id': 'dxze3b3fsfl814bjcs7q6wcet', 'season': 2023, 'gameweek': 1}","{'points': 3.40467025149782, 'mins': 90.0, 'xg': 0.0966789023791001, 'xa': 0.0415380952380952, 'g90': 0.0966789023791001, 'a90': 0.0415380952380952, 'cs90': 0.0415380952380952, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.03125, 'npxg_fpl': 0.051249999552965164, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.125, 'goal_threat': 8.125}","{'xg': 0.2188655585050583, 'prob_scoring': 0.1965702772140503, 'big_chance_missed': 0.9786165952682495, 'big_chance_scored': 1.6845613718032837, 'on_target': 1.7794349193572998, 'goal_threat': 1.3715198040008545, 'xgnp': 0.11220792680978775, 'xgnp_fpl': 0.19822393357753754}","{'goals': 0.0, 'npxg': 0.009999999776482582, 'npxg_fpl': 0.029999999329447746, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 3.0}"
